A1,A4,A5,A6,A7,A9,A10,A12,A13,A2,A3,A8,A11,A14,A15,target
3,4,4,8,2,2,2,2,2,28.46,3.0,7.0,0,0.0,1,1
3,3,2,6,9,2,3,2,4,41.0,0.04,0.04,1,560.0,0,0
2,3,2,3,9,2,2,2,2,20.83,8.5,0.165,0,0.0,351,1
2,3,2,3,9,3,3,3,2,46.08,3.0,2.375,8,396.0,4159,0
3,4,4,3,9,3,3,3,2,26.67,1.75,1.0,5,160.0,5777,0
3,3,2,4,5,2,2,3,4,30.67,2.5,2.25,0,340.0,0,1
3,3,2,8,5,2,2,3,2,23.58,0.835,0.085,0,220.0,5,1
2,3,2,4,5,3,3,2,2,19.17,8.585,0.75,7,96.0,0,0
3,3,2,4,5,3,3,3,2,27.25,1.585,1.835,12,583.0,713,0
3,3,2,12,5,3,2,2,2,22.67,10.5,1.335,0,100.0,0,0
2,4,4,15,9,2,2,2,2,22.5,8.46,2.46,0,164.0,0,0
3,3,2,5,9,2,2,2,2,41.17,1.335,0.165,0,168.0,0,1
2,3,2,12,9,3,2,3,2,37.75,5.5,0.125,0,228.0,0,0
3,3,2,4,9,3,3,2,2,30.17,6.5,3.125,8,330.0,1200,0
3,3,2,2,9,2,2,2,2,22.25,9.0,0.085,0,0.0,0,1
2,3,2,15,9,3,3,3,2,47.42,3.0,13.875,2,519.0,1704,0
3,3,2,3,9,2,2,2,3,33.67,2.165,1.5,0,120.0,0,1
2,3,2,7,4,2,3,2,2,27.17,1.25,0.0,1,92.0,300,1
3,3,2,11,9,3,2,3,2,32.08,4.0,2.5,0,360.0,0,0
2,4,4,9,6,2,2,2,2,31.75,3.0,0.0,0,160.0,20,1
3,4,4,3,9,3,2,3,2,28.75,1.5,1.5,0,0.0,225,1
2,4,4,8,2,2,2,2,2,24.33,2.5,4.5,0,200.0,456,1
3,4,4,14,9,3,3,2,2,36.33,2.125,0.085,1,50.0,1187,0
2,3,2,3,9,3,3,3,2,28.67,1.04,2.5,5,300.0,1430,0
3,3,2,5,9,2,2,2,2,18.58,5.71,0.54,0,120.0,0,1
3,4,4,15,9,3,3,3,2,21.92,0.54,0.04,1,840.0,59,0
2,3,2,12,9,3,3,2,2,23.25,5.875,3.17,10,120.0,245,0
3,3,2,2,2,3,3,2,2,40.0,6.5,3.5,1,0.0,500,0
3,3,2,3,9,2,2,2,4,23.75,12.0,2.085,0,80.0,0,1
3,3,2,3,2,3,3,2,2,36.25,5.0,2.5,6,0.0,367,0
3,3,2,14,9,3,3,2,2,22.33,11.0,2.0,1,80.0,278,0
3,4,4,3,5,2,2,2,2,21.17,0.875,0.25,0,280.0,204,1
3,3,2,14,9,3,2,2,4,20.17,5.625,1.71,0,120.0,0,0
2,3,2,7,4,2,3,3,2,31.92,3.125,3.04,2,200.0,4,1
2,3,2,12,5,3,2,2,2,40.83,10.0,1.75,0,29.0,837,0
2,4,4,7,4,2,2,2,2,52.17,0.0,0.0,0,0.0,0,1
3,3,2,8,2,3,3,3,2,49.5,7.585,7.585,15,0.0,5000,0
3,3,2,4,2,2,2,2,2,34.75,2.5,0.5,0,348.0,0,1
3,4,4,3,9,2,2,2,2,29.67,0.75,0.04,0,240.0,0,1
3,3,2,6,10,3,3,2,2,40.25,21.5,20.0,11,0.0,1200,0
3,3,2,2,9,3,2,2,4,48.17,3.5,3.5,0,230.0,0,0
2,3,2,12,9,3,3,2,2,28.17,0.375,0.585,4,80.0,0,0
3,3,2,8,9,2,2,3,2,17.08,3.29,0.335,0,140.0,2,1
3,3,2,7,4,3,3,2,2,49.58,19.0,0.0,1,94.0,0,1
3,4,4,8,9,2,2,3,2,19.17,4.0,1.0,0,360.0,1000,1
3,4,4,8,5,2,2,3,4,39.17,2.5,10.0,0,200.0,0,1
3,4,4,6,5,3,2,3,2,32.0,1.75,0.04,0,393.0,0,0
2,3,2,2,9,2,2,2,2,38.92,1.665,0.25,0,0.0,390,1
2,0,0,0,0,2,2,2,3,71.58,0.0,0.0,0,160.0,0,0
3,3,2,8,2,2,2,3,4,33.58,0.25,4.0,0,420.0,0,1
3,4,4,3,9,3,2,2,4,20.5,10.0,2.5,0,40.0,0,0
3,3,2,7,4,3,3,2,2,55.92,11.5,5.0,5,0.0,8851,0
3,4,4,8,9,2,2,3,2,28.46,4.0,0.085,0,411.0,0,1
3,3,2,5,9,2,2,3,2,26.75,2.0,0.75,0,80.0,0,1
3,4,4,2,9,3,2,2,2,28.46,5.0,8.5,0,0.0,0,1
3,3,2,14,5,2,3,2,2,17.58,10.0,0.165,1,120.0,1,1
3,4,4,4,5,3,3,2,2,43.0,0.29,1.75,8,100.0,375,0
3,4,4,3,5,3,3,3,2,20.67,1.25,1.375,3,140.0,210,1
3,3,2,3,2,3,3,2,2,47.67,0.29,15.0,20,0.0,15000,0
2,3,2,11,9,2,3,3,2,27.58,3.0,2.79,1,280.0,10,1
3,4,4,14,9,3,3,2,2,22.67,1.585,3.085,6,80.0,0,0
3,3,2,14,5,3,3,2,2,19.42,6.5,1.46,7,80.0,2954,0
2,3,2,2,9,3,2,3,2,17.58,9.0,1.375,0,0.0,0,0
2,4,4,7,4,2,3,3,2,25.25,13.5,2.0,1,200.0,1,1
2,3,2,12,9,3,3,3,2,23.5,9.0,8.5,5,120.0,0,0
2,3,2,9,6,3,2,2,2,46.0,4.0,0.0,0,100.0,960,0
3,3,2,3,9,2,2,2,4,17.67,4.46,0.25,0,80.0,0,1
3,4,4,3,5,3,3,3,2,32.25,0.165,3.25,1,432.0,8000,0
3,3,2,15,9,3,2,2,2,41.75,0.96,2.5,0,510.0,600,0
3,3,2,4,9,2,2,3,2,37.33,2.665,0.165,0,0.0,501,1
2,3,2,2,9,2,3,3,2,16.0,0.165,1.0,2,320.0,1,1
2,3,2,12,9,3,2,3,2,60.58,16.5,11.0,0,21.0,10561,0
3,4,4,3,5,2,2,2,2,21.17,0.25,0.25,0,280.0,204,1
3,3,2,14,9,3,2,3,2,28.33,5.0,11.0,0,70.0,0,0
3,3,2,14,9,2,2,2,2,21.25,1.5,1.5,0,150.0,8,0
2,3,2,8,8,2,2,2,2,48.17,1.335,0.335,0,0.0,120,1
3,4,4,8,2,3,3,3,2,30.08,1.04,0.5,10,132.0,28,1
3,4,4,10,9,2,2,2,2,28.17,0.125,0.085,0,216.0,2100,1
3,3,2,2,9,3,2,3,2,34.0,4.5,1.0,0,240.0,0,1
3,4,4,7,4,2,2,3,2,18.83,3.54,0.0,0,180.0,1,1
3,3,2,12,9,3,2,3,2,19.33,9.5,1.0,0,60.0,400,0
3,3,2,14,9,2,3,2,2,35.75,2.415,0.125,2,220.0,1,1
3,3,2,7,4,2,2,2,2,18.58,10.29,0.415,0,80.0,0,1
3,3,2,11,9,2,3,2,2,19.42,7.25,0.04,1,100.0,1,1
2,3,2,2,9,3,2,2,2,18.83,9.54,0.085,0,100.0,0,0
3,3,2,14,5,3,3,3,2,23.08,11.5,2.125,11,290.0,284,0
3,3,2,3,9,2,2,3,2,58.58,2.71,2.415,0,320.0,0,1
3,3,2,15,9,3,3,2,2,38.17,10.125,2.5,6,520.0,196,0
2,3,2,3,9,3,3,2,2,57.08,19.5,5.5,7,0.0,3000,0
2,3,2,14,9,2,3,2,2,18.25,10.0,1.0,1,120.0,1,1
3,3,2,12,9,3,3,3,2,24.17,0.875,4.625,2,520.0,2000,0
3,4,4,10,9,2,3,3,2,23.5,3.165,0.415,1,280.0,80,1
3,4,4,3,9,2,2,3,2,34.0,5.5,1.5,0,60.0,0,1
2,3,2,8,5,2,2,2,2,19.17,5.415,0.29,0,80.0,484,1
3,4,4,4,9,3,3,2,2,27.75,0.585,0.25,2,260.0,500,0
3,3,2,15,9,3,2,2,2,28.46,10.5,6.5,0,0.0,0,0
3,4,4,11,9,2,2,3,2,40.92,0.5,0.5,0,130.0,0,1
3,3,2,3,9,2,3,2,2,25.17,3.0,1.25,1,0.0,22,1
2,3,2,7,4,2,3,3,2,28.46,1.5,0.0,2,200.0,105,1
3,3,2,3,9,2,2,2,2,20.67,0.415,0.125,0,0.0,44,1
3,3,2,2,9,3,2,3,2,31.83,2.5,7.5,0,523.0,0,1
3,3,2,5,9,2,2,3,4,30.75,1.585,0.585,0,0.0,0,1
3,4,4,4,5,2,2,2,2,23.92,0.585,0.125,0,240.0,1,1
2,3,2,12,9,3,3,2,2,18.75,7.5,2.71,5,160.0,26726,0
3,3,2,8,5,3,2,3,2,44.33,0.5,5.0,0,320.0,0,0
3,3,2,3,9,3,3,2,2,31.33,19.5,7.0,16,0.0,5000,0
2,3,2,12,9,3,3,2,2,22.42,5.665,2.585,7,129.0,3257,0
2,4,4,3,9,3,3,3,2,18.92,9.25,1.0,4,80.0,500,0
3,3,2,14,9,3,3,2,2,48.25,25.085,1.75,3,120.0,14,0
3,3,2,12,5,3,2,3,2,24.42,12.335,1.585,0,120.0,0,0
3,4,4,4,9,2,2,3,2,32.08,4.0,1.5,0,120.0,0,1
2,3,2,9,6,2,2,3,2,26.17,2.0,0.0,0,276.0,1,1
3,3,2,3,9,3,3,3,2,20.5,2.415,2.0,11,200.0,3000,0
3,3,2,14,9,3,3,2,2,30.83,0.0,1.25,1,202.0,0,0
3,3,2,3,9,2,2,2,2,31.0,2.085,0.085,0,300.0,0,1
2,3,2,4,5,3,3,3,2,20.75,10.335,0.335,1,80.0,50,0
2,3,2,4,5,3,3,3,2,31.25,3.75,0.625,9,181.0,0,0
0,3,2,3,9,2,2,3,2,32.25,1.5,0.25,0,372.0,122,1
3,3,2,13,5,3,2,3,2,33.17,1.04,6.5,0,164.0,31285,0
3,4,4,10,9,2,2,2,2,38.25,10.125,0.125,0,160.0,0,1
2,3,2,8,2,3,2,3,2,41.33,1.0,2.25,0,0.0,300,0
2,3,2,4,9,3,2,2,2,32.33,0.54,0.04,0,440.0,11177,0
2,3,2,3,9,3,3,3,2,28.75,3.75,1.085,1,371.0,0,0
3,3,2,3,9,3,3,2,2,20.42,1.835,2.25,1,100.0,150,0
3,3,2,7,4,2,3,2,2,31.25,2.835,0.0,5,176.0,146,1
2,4,4,2,9,3,2,3,2,19.17,0.585,0.585,0,160.0,0,1
3,3,2,4,5,3,3,2,2,32.83,2.5,2.75,6,160.0,2072,0
2,3,2,12,9,2,3,2,2,16.5,1.25,0.25,1,108.0,98,1
3,3,2,14,9,3,2,2,2,19.17,9.5,1.5,0,120.0,2206,0
3,3,2,14,9,2,3,2,2,25.42,0.54,0.165,1,272.0,444,1
3,3,2,2,9,2,2,3,2,28.58,3.625,0.25,0,100.0,0,1
3,3,2,3,9,3,2,2,2,21.5,9.75,0.25,0,140.0,0,1
3,3,2,3,9,3,2,3,2,21.33,10.5,3.0,0,0.0,0,0
3,4,4,14,9,2,2,3,2,33.0,2.5,7.0,0,280.0,0,1
2,3,2,2,5,2,2,2,2,52.5,7.0,3.0,0,0.0,0,1
3,3,2,3,9,2,2,2,2,39.5,1.625,1.5,0,0.0,316,1
3,4,4,14,5,3,2,3,2,32.67,9.0,5.25,0,154.0,0,0
3,3,2,15,5,3,3,3,2,34.92,5.0,7.5,6,0.0,1000,0
2,3,2,7,4,2,2,2,2,17.92,10.21,0.0,0,0.0,50,1
2,3,2,10,2,3,3,3,2,33.75,0.75,1.0,3,212.0,0,1
3,4,4,3,9,3,2,2,2,35.25,16.5,4.0,0,80.0,0,1
3,3,2,3,5,2,3,3,2,25.67,3.25,2.29,1,416.0,21,1
3,3,2,0,0,3,2,2,2,80.25,5.5,0.54,0,0.0,340,1
2,3,2,7,4,2,3,2,2,57.58,2.0,6.5,1,0.0,10,1
2,3,2,5,9,2,2,2,2,32.0,6.0,1.25,0,272.0,0,1
3,3,2,14,2,3,2,3,2,34.25,1.75,0.25,0,163.0,0,1
3,3,2,15,5,3,3,3,2,35.17,25.125,1.625,1,515.0,500,0
2,3,2,7,4,2,2,2,2,27.33,1.665,0.0,0,340.0,1,1
3,3,2,15,5,3,3,2,2,27.67,2.0,1.0,4,140.0,7544,0
3,3,2,12,5,3,3,2,2,43.25,3.0,6.0,11,80.0,0,0
3,3,2,3,9,3,3,3,2,63.33,0.54,0.585,3,180.0,0,1
3,4,4,5,9,2,2,3,2,37.5,1.125,1.5,0,431.0,0,0
3,3,2,3,5,3,3,3,2,54.33,6.75,2.625,11,0.0,284,0
3,3,2,3,2,3,2,3,4,37.17,4.0,5.0,0,280.0,0,1
3,4,4,3,2,3,3,3,2,28.25,5.04,1.5,8,144.0,7,0
3,4,4,14,9,2,2,2,4,34.83,2.5,3.0,0,200.0,0,1
3,3,2,11,9,3,3,3,2,44.0,2.0,1.75,2,0.0,15,0
2,3,2,10,5,3,3,3,2,55.75,7.08,6.75,3,100.0,50,1
3,3,2,4,9,2,2,2,2,26.17,0.835,1.165,0,100.0,0,1
2,3,2,12,9,2,3,3,2,23.58,0.83,0.415,1,200.0,11,1
3,4,4,8,5,2,2,2,2,21.08,4.125,0.04,0,140.0,100,1
3,3,2,8,2,3,2,2,2,42.75,3.0,1.0,0,0.0,200,1
2,4,4,12,9,3,2,3,2,22.5,11.0,3.0,0,268.0,0,1
2,4,4,3,9,2,2,3,2,33.25,2.5,2.5,0,0.0,2,1
3,3,2,3,9,2,2,2,2,16.17,0.04,0.04,0,0.0,0,0
3,3,2,10,9,2,2,3,2,21.83,1.54,0.085,0,356.0,0,1
2,3,2,12,9,3,3,2,2,22.5,8.5,1.75,10,80.0,990,1
2,3,2,14,9,2,2,3,2,27.67,2.04,0.25,0,180.0,50,1
3,4,4,3,9,2,2,2,2,30.17,1.085,0.04,0,170.0,179,1
2,4,4,9,4,2,2,2,2,17.67,0.0,0.0,0,86.0,0,1
3,3,2,3,2,3,2,2,2,41.33,0.0,15.0,0,0.0,0,0
3,4,4,8,2,3,3,3,2,34.5,4.04,8.5,7,195.0,0,0
2,3,2,2,9,3,3,2,2,21.5,6.0,2.5,3,80.0,918,0
3,4,4,3,9,2,2,3,2,25.67,0.29,1.5,0,160.0,0,1
3,3,2,3,9,2,2,3,4,21.17,0.0,0.5,0,0.0,0,1
3,3,2,6,3,2,3,2,2,24.42,2.0,0.165,2,320.0,1300,1
2,4,4,7,4,3,3,2,2,24.5,1.04,0.5,3,180.0,147,1
2,3,2,12,9,3,3,2,2,58.33,10.0,4.0,14,0.0,1602,0
3,3,2,10,9,3,2,2,2,18.08,5.5,0.5,0,80.0,0,0
3,4,4,3,9,2,3,2,2,23.75,0.415,0.04,2,128.0,6,1
3,4,4,3,9,2,2,3,2,19.0,1.75,2.335,0,112.0,6,1
2,3,2,2,9,3,3,2,2,18.92,9.0,0.75,2,88.0,591,0
3,3,2,11,9,2,2,3,4,23.0,0.75,0.5,0,320.0,0,1
3,3,2,3,9,2,3,3,2,22.17,12.125,3.335,2,180.0,173,1
3,3,2,3,2,3,2,3,2,23.25,4.0,0.25,0,160.0,0,0
3,3,2,8,2,2,2,3,2,26.92,2.25,0.5,0,640.0,4000,1
2,3,2,3,9,3,2,2,2,44.33,0.0,2.5,0,0.0,0,0
2,3,2,8,9,2,2,2,2,20.75,9.54,0.04,0,200.0,1000,1
3,3,2,3,9,2,3,2,2,38.42,0.705,0.375,2,225.0,500,1
3,3,2,11,9,2,3,3,2,29.58,4.75,2.0,1,460.0,68,1
3,3,2,4,5,3,3,3,2,39.33,5.875,10.0,14,399.0,0,0
3,0,0,0,0,2,2,2,3,34.58,0.0,0.0,0,160.0,0,1
3,3,2,11,9,3,3,2,2,33.58,2.75,4.25,6,204.0,0,0
3,3,2,11,9,3,3,2,2,25.5,0.375,0.25,3,260.0,15108,0
3,0,0,0,0,2,2,2,3,37.58,0.0,0.0,0,160.0,0,0
2,3,2,12,9,2,2,2,2,15.92,2.875,0.085,0,120.0,0,1
3,3,2,3,9,3,3,3,2,16.08,0.75,1.75,5,352.0,690,0
3,3,2,14,9,3,3,3,2,29.58,4.5,7.5,2,330.0,0,0
3,3,2,11,9,3,2,3,2,48.5,4.25,0.125,0,225.0,0,0
3,3,2,3,9,2,2,2,2,24.58,1.25,0.25,0,110.0,0,1
3,3,2,8,9,2,2,3,2,35.0,2.5,1.0,0,210.0,0,1
2,3,2,3,9,3,3,3,2,47.75,8.0,7.875,6,0.0,1260,0
3,4,4,10,5,2,2,3,2,26.17,12.5,1.25,0,0.0,17,1
3,3,2,3,7,2,3,3,2,18.17,2.46,0.96,2,160.0,587,1
2,4,4,9,6,2,2,2,2,21.75,1.75,0.0,0,160.0,0,1
2,3,2,8,5,2,2,2,2,37.33,2.5,0.21,0,260.0,246,1
2,3,2,2,9,3,3,3,2,24.75,12.5,1.5,12,120.0,567,0
3,3,2,8,5,3,2,2,2,42.0,0.205,5.125,0,400.0,0,0
3,3,2,3,9,3,2,2,2,31.42,15.5,0.5,0,120.0,0,1
2,3,2,3,9,2,2,3,2,21.75,11.75,0.25,0,180.0,0,1
2,3,2,8,9,2,2,3,4,22.5,0.415,0.335,0,144.0,0,1
3,3,2,7,4,2,3,2,2,69.17,9.0,4.0,1,70.0,6,1
3,3,2,14,9,3,3,3,2,59.5,2.75,1.75,5,60.0,58,0
3,3,2,10,9,2,2,2,2,19.5,0.29,0.29,0,280.0,364,1
3,3,2,14,9,3,3,3,2,27.83,1.5,2.0,11,434.0,35,0
3,3,2,8,9,3,3,2,2,18.5,2.0,1.5,2,120.0,300,0
3,3,2,3,9,2,2,2,2,28.92,0.375,0.29,0,220.0,140,1
2,3,2,4,9,3,2,3,2,38.58,5.0,13.5,0,980.0,0,1
2,3,2,2,9,2,2,3,2,50.25,0.835,0.5,0,240.0,117,1
3,0,0,0,0,2,2,2,3,23.17,0.0,0.0,0,160.0,0,0
3,4,4,3,5,3,3,3,2,33.17,3.04,2.04,1,180.0,18027,0
3,4,4,5,9,3,2,3,4,24.33,6.625,5.5,0,100.0,0,0
3,3,2,10,5,3,2,3,2,56.0,12.5,8.0,0,24.0,2028,0
3,3,2,14,9,3,3,3,2,42.08,1.04,5.0,6,500.0,10000,0
3,4,4,3,5,3,2,2,2,62.5,12.75,5.0,0,112.0,0,1
