cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,cap-diameter,stem-height,stem-width,target
8,10,8,2,2,2,13,0,3,9,0,0,2,3,0,3,2,4.41,5.65,6.82,1
8,9,7,2,6,0,13,0,0,8,0,0,2,3,0,2,2,23.74,6.01,46.05,1
8,11,13,2,5,4,4,0,0,14,0,0,2,3,0,2,4,7.03,4.77,13.37,0
8,6,6,2,2,0,9,0,0,13,0,0,2,3,5,3,4,2.27,4.64,2.71,1
8,12,13,2,2,0,13,5,0,14,0,0,3,8,4,2,5,8.31,10.68,18.94,1
3,4,7,2,2,0,12,0,0,5,0,0,2,3,0,2,4,1.45,4.71,1.49,0
8,0,7,2,3,2,13,2,0,8,0,0,2,3,0,5,2,5.07,5.23,8.76,1
4,4,3,3,2,0,9,0,0,8,0,0,2,3,0,2,2,0.96,5.42,0.94,0
2,10,7,2,0,2,6,0,0,8,0,0,3,3,0,3,4,0.94,3.03,2.48,1
8,2,3,3,6,0,10,0,0,3,0,0,2,3,0,2,4,8.47,5.92,11.94,0
8,6,3,2,0,0,3,0,0,3,0,0,2,3,4,2,2,3.58,4.34,4.87,1
5,10,13,2,0,2,8,0,0,8,0,0,2,3,0,2,2,9.41,1.43,16.03,1
8,0,12,2,8,2,12,2,0,13,0,6,3,0,0,2,3,5.46,8.27,9.36,0
2,12,7,2,0,2,7,0,0,13,0,0,2,3,0,2,3,3.76,7.91,3.77,0
8,9,7,2,7,0,7,0,9,8,0,0,2,3,0,2,5,5.12,5.05,6.6,1
8,6,7,3,4,0,9,0,9,13,0,0,3,5,0,2,2,9.0,8.42,15.85,0
2,4,7,2,2,3,5,0,7,5,0,0,2,3,0,2,2,4.98,6.63,3.94,0
4,3,2,2,0,2,2,0,0,13,0,0,3,3,0,2,2,9.88,4.91,19.37,0
8,12,12,3,0,0,7,6,0,13,0,0,3,5,0,3,4,6.02,6.89,12.43,1
4,12,4,2,7,0,12,0,0,13,0,0,2,3,0,2,4,4.62,3.96,6.52,0
8,6,7,2,2,2,7,0,5,8,0,3,3,9,3,2,2,7.68,8.9,8.65,1
8,12,3,2,0,0,12,2,0,8,0,6,3,2,0,2,5,10.78,8.96,28.25,0
2,10,6,2,7,2,5,0,9,7,0,0,3,2,3,3,4,3.97,5.68,7.1,1
4,9,12,2,7,2,12,0,0,13,0,0,2,3,0,6,3,9.76,7.79,26.64,0
8,0,7,2,8,2,7,2,0,8,0,6,3,0,0,2,3,3.98,8.44,9.43,0
8,4,8,2,0,0,13,0,0,13,0,0,2,3,0,2,4,0.7,3.59,0.77,1
8,9,10,3,7,3,12,5,5,13,0,0,2,3,0,2,4,9.37,6.58,17.06,1
4,4,4,2,2,3,5,0,7,8,0,0,2,3,0,2,5,3.17,5.65,3.14,0
8,6,5,2,2,0,12,0,0,13,0,0,2,3,5,3,2,2.13,3.92,2.63,1
8,5,7,3,6,0,13,0,0,8,0,6,3,7,0,2,2,9.12,8.34,18.7,0
4,5,8,2,4,0,12,6,9,13,2,6,3,7,0,2,2,14.67,17.2,16.77,1
3,5,7,2,0,0,7,0,0,14,0,0,2,3,0,3,2,1.97,7.21,3.2,1
8,11,7,2,6,0,13,0,0,8,0,0,2,3,0,2,2,30.48,15.28,76.16,0
5,8,4,2,5,4,4,4,2,4,0,0,2,3,0,2,4,3.57,0.0,0.0,1
4,9,12,2,7,2,12,0,0,13,0,0,2,3,0,6,3,8.75,8.26,31.44,0
8,10,7,2,7,2,9,0,0,13,0,4,3,9,0,2,4,3.75,5.24,7.88,1
8,5,4,2,2,3,7,0,8,5,0,0,3,5,0,2,5,6.97,6.12,4.88,0
8,6,7,2,2,0,7,6,0,8,0,4,2,3,0,2,2,9.65,10.24,14.25,1
7,11,8,3,3,2,13,0,0,8,0,0,2,3,0,2,4,2.25,3.13,4.66,1
7,9,12,2,3,2,12,0,0,13,0,0,2,3,0,3,4,3.02,2.55,6.35,1
2,4,4,2,0,0,5,0,0,13,0,0,2,3,0,2,4,0.81,3.37,1.61,0
8,2,8,2,2,2,3,0,0,3,0,0,2,3,0,3,2,3.9,4.67,5.99,0
3,3,13,3,8,2,10,0,0,13,0,0,2,3,0,3,3,6.44,7.22,11.97,1
4,5,10,2,0,2,12,0,0,13,2,6,3,4,0,2,2,7.88,10.5,15.45,1
8,10,10,3,3,2,7,0,0,8,0,0,2,3,0,2,2,10.04,5.58,16.6,1
7,10,9,3,3,2,9,0,0,10,0,0,3,3,0,2,4,9.73,7.44,13.91,1
4,10,7,2,0,0,7,0,0,14,0,0,2,3,0,3,2,2.23,8.56,3.54,1
8,12,7,3,4,0,12,0,0,13,0,0,3,0,0,3,2,14.18,9.57,16.82,0
8,10,7,2,2,3,12,0,0,13,0,0,2,3,0,2,4,12.74,11.43,32.89,1
5,7,7,2,0,0,7,0,0,8,0,0,2,3,0,2,3,1.66,2.51,1.36,1
8,5,9,2,2,2,8,0,0,3,0,0,2,3,0,3,2,2.76,4.36,6.67,0
8,0,2,2,0,3,12,0,0,13,0,0,2,3,0,2,2,2.33,7.05,5.04,0
8,10,13,2,3,0,12,0,8,14,0,0,2,3,0,4,2,1.46,7.13,2.24,0
4,10,7,2,8,2,9,0,5,5,0,0,2,3,0,2,4,3.93,6.35,4.68,1
8,12,13,2,2,2,13,0,9,14,0,0,3,0,0,2,4,6.05,9.63,10.67,1
7,0,13,2,5,4,4,0,0,14,0,0,2,3,0,2,2,4.04,7.27,8.11,0
4,10,7,3,3,2,2,0,0,11,0,0,2,3,0,5,4,16.44,5.28,27.21,1
4,0,4,2,4,0,12,0,0,13,2,6,3,4,0,2,4,11.0,11.03,15.65,1
7,2,3,3,3,2,12,0,0,3,0,0,2,3,0,2,4,6.1,4.7,8.43,1
4,4,7,2,7,0,13,0,5,9,0,0,2,3,0,2,2,8.8,9.79,13.39,0
8,5,7,2,0,2,7,0,7,13,0,6,2,3,3,2,2,4.27,6.51,6.62,0
3,4,7,2,2,0,5,0,0,5,0,0,2,3,0,5,4,1.39,4.82,1.52,0
2,5,7,2,2,0,7,0,8,8,0,0,2,3,0,2,3,1.31,4.25,1.19,1
8,4,12,2,2,3,12,0,0,8,0,0,2,3,0,5,4,0.96,2.91,1.51,1
4,0,11,2,2,0,12,0,0,13,0,0,2,3,0,2,4,4.31,4.68,7.98,1
8,5,7,2,2,3,7,0,8,5,0,0,3,5,0,2,2,5.03,5.77,4.48,0
8,0,10,2,2,0,10,0,0,7,0,0,2,3,0,5,4,4.16,6.24,7.79,0
8,9,7,3,6,0,7,0,0,8,0,6,3,7,0,2,2,9.55,7.94,17.99,0
8,3,13,2,2,0,13,5,0,14,0,0,3,8,4,2,2,12.66,16.49,25.73,1
4,8,3,2,8,3,7,0,0,14,0,0,2,3,0,2,2,4.67,6.67,5.13,1
7,10,9,3,3,2,9,0,0,10,0,0,3,3,0,2,2,10.35,7.81,17.73,1
8,10,13,2,8,2,13,0,0,14,0,0,2,3,0,2,2,7.72,5.79,14.8,1
4,2,7,2,8,2,13,2,5,8,0,0,2,3,0,2,4,3.78,4.64,3.22,1
8,2,12,2,2,3,9,0,4,13,0,0,2,3,0,3,4,3.63,3.51,2.46,1
7,0,6,2,7,2,2,0,0,2,0,0,2,3,0,2,5,10.74,7.63,19.5,0
8,0,7,3,0,0,12,2,0,13,2,6,3,4,0,2,2,10.76,10.47,18.6,0
4,11,7,3,3,2,13,0,0,8,0,0,2,3,0,2,2,2.75,2.84,5.43,1
4,2,2,2,8,2,12,2,7,8,0,0,2,3,0,2,2,3.67,4.68,2.89,1
4,12,7,2,0,0,12,2,0,8,0,6,3,2,0,2,5,10.84,8.06,25.02,0
8,0,4,2,3,2,13,2,0,8,0,0,2,3,0,2,5,6.64,4.9,10.02,1
7,2,4,3,3,2,9,0,0,5,0,0,2,3,0,2,2,2.94,4.62,5.78,0
8,9,13,2,7,0,9,0,5,8,0,0,2,3,0,2,4,9.83,7.21,16.78,1
4,10,13,2,8,2,13,0,0,14,0,0,2,3,0,2,2,8.26,5.96,16.94,1
8,6,3,2,0,0,3,0,0,3,0,0,2,3,4,2,2,3.53,4.16,5.0,1
4,0,7,2,8,2,9,0,0,10,0,0,2,3,0,2,2,4.49,7.88,3.86,1
8,7,12,3,3,3,12,0,0,13,0,0,2,3,0,2,5,22.01,8.9,33.69,1
7,0,8,3,3,0,8,0,0,13,0,0,3,3,0,2,4,9.92,5.81,12.47,1
5,0,7,2,5,4,4,0,0,8,0,0,2,3,0,2,3,5.95,6.55,22.33,0
7,10,7,3,3,2,7,0,0,8,0,0,2,3,0,2,4,14.94,7.51,16.03,1
8,10,8,2,6,0,7,0,0,8,0,0,2,3,0,2,2,4.31,4.74,10.4,0
8,12,13,2,2,2,13,0,9,8,0,0,3,0,0,2,4,8.34,10.49,11.09,1
6,0,7,2,6,0,12,3,0,8,0,0,2,3,5,2,2,8.35,11.55,36.07,1
8,9,4,3,7,3,10,5,5,8,0,0,2,3,0,2,2,6.6,4.23,16.71,1
7,2,13,2,3,2,13,0,0,9,0,0,2,3,0,2,4,6.88,4.19,6.95,1
8,0,12,2,8,2,5,0,0,13,0,0,2,3,0,2,4,3.79,6.16,3.7,0
7,0,7,2,3,2,12,0,7,13,0,0,2,3,0,4,2,7.51,4.63,7.73,0
8,5,12,2,7,0,9,0,5,8,0,0,2,3,0,2,4,10.67,7.87,16.73,1
2,0,5,2,2,0,7,0,0,5,0,6,2,3,3,3,2,2.76,8.45,2.36,1
5,12,13,2,6,0,13,0,6,6,0,0,2,3,0,2,3,47.33,6.35,35.74,0
4,9,12,2,3,3,12,0,0,13,0,0,2,3,0,3,2,3.35,4.97,7.24,0
7,0,4,2,7,2,5,2,0,12,0,0,2,3,0,2,5,8.9,7.6,20.64,0
8,12,7,2,4,2,12,0,9,8,0,0,2,3,0,2,2,6.44,5.71,10.21,0
8,5,4,2,2,3,7,0,8,13,0,0,3,5,0,2,2,5.24,5.66,4.55,0
4,0,2,2,3,2,13,0,0,13,0,0,2,3,0,2,5,11.12,2.38,14.46,0
4,4,7,2,2,3,5,0,7,5,0,0,2,3,0,2,3,4.21,5.76,3.46,0
3,5,7,2,4,0,12,0,7,13,2,6,2,3,0,2,4,5.31,12.4,12.42,0
5,8,7,2,5,4,4,0,0,8,0,0,2,3,2,2,4,5.33,6.44,50.69,0
6,4,7,2,4,0,12,0,9,13,2,6,3,7,0,2,2,7.78,7.81,14.95,1
7,9,12,2,3,2,12,0,0,13,0,0,2,3,0,3,4,3.31,3.32,8.7,1
2,4,12,2,8,3,12,0,0,14,0,0,2,3,0,3,4,3.49,4.18,2.69,0
6,2,8,2,6,0,12,6,9,13,0,0,2,3,0,2,2,17.99,15.4,34.09,0
3,3,12,3,8,2,10,0,0,13,0,0,2,3,0,3,3,4.6,6.05,13.33,1
4,5,3,2,8,0,12,5,3,8,0,0,2,3,0,2,4,7.07,15.02,8.59,1
2,9,4,2,0,0,5,0,7,13,0,0,3,9,0,2,3,6.36,10.14,14.75,1
4,0,12,2,8,2,12,5,5,13,0,0,2,3,0,2,4,8.61,11.05,13.37,1
8,3,4,2,2,2,12,6,0,13,0,0,2,3,0,2,5,13.38,8.79,25.82,0
4,7,12,2,7,0,9,0,0,8,0,0,2,3,5,3,4,3.33,4.21,2.81,1
6,9,12,3,4,0,5,6,0,13,0,0,3,8,0,6,2,10.75,8.6,18.05,0
7,10,5,2,2,3,6,0,0,13,0,0,2,3,8,2,4,17.09,7.32,28.25,0
8,3,13,2,8,2,12,0,0,13,0,0,2,3,0,2,4,9.91,7.62,18.0,0
4,2,7,2,3,2,7,0,5,8,0,0,3,0,0,2,2,7.41,5.88,6.79,1
8,9,7,2,4,2,9,0,5,13,0,0,2,3,5,2,2,8.44,7.45,10.29,0
8,9,7,2,7,0,7,0,9,8,0,0,2,3,0,2,2,6.2,4.75,7.07,1
7,2,3,3,3,2,12,0,0,8,0,0,2,3,0,2,4,7.54,5.7,9.27,1
8,0,7,2,6,0,12,3,0,8,0,0,2,3,5,2,2,12.94,12.79,34.19,1
4,10,7,3,3,2,7,0,0,8,0,0,2,3,0,2,2,10.75,6.04,14.18,1
8,0,12,2,8,2,7,0,0,13,0,0,2,3,0,2,2,5.0,7.3,4.97,0
2,10,13,2,0,2,5,0,0,8,0,0,3,3,0,3,2,1.45,4.52,2.91,1
5,12,13,2,6,0,13,0,6,8,0,0,2,3,0,2,4,47.0,6.7,31.73,0
4,6,7,2,4,2,7,0,0,13,0,0,3,8,0,9,4,7.63,4.98,14.18,0
8,10,7,2,2,3,12,0,0,13,0,0,2,3,0,2,4,12.09,10.43,27.6,1
2,9,13,2,0,2,6,0,0,14,2,6,3,9,3,2,2,4.16,9.84,7.08,1
7,2,13,2,3,2,8,0,0,9,0,0,2,3,0,2,4,4.31,3.48,5.4,1
4,12,11,2,7,2,13,0,9,14,0,0,2,3,0,2,2,8.0,6.46,19.51,1
2,5,7,2,2,0,7,0,8,8,0,0,2,3,0,3,2,1.35,4.67,1.57,1
8,5,7,3,6,0,13,3,0,14,0,0,2,3,0,2,2,13.74,8.53,28.68,1
5,0,7,2,5,4,4,0,3,8,0,0,2,3,0,2,3,6.72,2.66,23.53,1
8,9,13,2,8,0,7,0,0,8,0,0,2,3,0,2,5,10.2,7.61,24.71,0
8,6,13,2,2,2,6,0,5,8,0,3,3,9,3,2,2,6.66,7.59,7.39,1
7,11,11,2,2,2,11,0,7,12,0,0,2,3,0,2,4,3.04,4.88,5.15,1
4,0,7,2,7,2,11,0,0,2,0,0,2,3,0,2,2,8.77,7.28,19.28,0
8,5,13,2,7,0,13,0,5,8,0,0,2,3,0,2,4,10.03,5.89,17.12,1
6,10,7,2,2,2,7,0,8,14,0,0,3,2,0,6,2,1.79,7.79,2.82,1
5,0,3,2,5,4,4,0,3,8,0,0,2,3,0,2,3,12.62,3.89,25.39,1
8,5,7,2,8,2,12,0,9,8,0,0,3,8,0,2,4,5.85,6.13,6.65,0
8,0,7,2,8,2,7,0,0,13,0,0,2,3,0,2,4,4.47,5.64,3.68,0
8,7,7,3,6,0,8,3,0,14,0,0,2,3,0,2,4,16.54,10.08,32.74,1
2,10,7,2,0,0,6,0,0,13,0,0,3,0,3,3,4,3.21,9.16,5.23,1
8,5,13,2,6,0,13,0,0,14,0,7,3,0,0,2,2,9.62,7.63,15.84,0
4,9,12,2,3,2,12,0,0,13,0,0,2,3,0,3,4,3.41,3.28,7.28,1
8,12,13,2,2,0,12,0,9,8,0,0,3,8,0,2,4,3.03,5.0,3.36,1
4,9,12,3,4,0,5,6,0,13,0,0,3,8,0,6,4,16.0,12.47,18.8,0
8,7,12,2,7,0,9,0,0,8,0,0,2,3,5,3,2,2.79,3.79,2.88,1
4,0,11,2,2,2,7,0,5,13,0,0,2,3,0,2,2,1.59,3.34,3.11,1
8,0,8,2,3,0,8,0,0,14,0,0,2,3,8,3,4,0.67,4.3,0.97,1
4,8,13,2,8,3,13,0,0,14,0,0,2,3,0,5,4,3.91,5.46,4.54,1
4,7,7,2,3,2,13,0,6,6,0,0,2,3,0,2,4,16.13,6.13,38.39,1
8,3,7,2,2,0,7,6,0,8,0,4,2,3,0,4,2,10.59,11.17,15.29,1
2,4,13,2,0,2,7,0,0,8,0,0,2,3,0,3,4,2.35,6.81,3.24,1
7,0,10,3,3,0,8,0,0,13,0,0,3,3,0,2,4,7.64,4.35,11.44,1
2,4,7,2,0,2,7,0,0,8,0,0,2,3,0,6,2,1.98,6.15,3.15,1
8,3,13,3,6,0,3,0,0,3,0,0,2,3,0,2,4,10.45,7.94,24.1,1
7,2,7,3,3,2,9,0,0,5,0,0,2,3,0,2,4,2.6,4.0,5.44,0
8,2,3,3,6,0,10,0,0,14,0,0,2,3,0,2,2,7.36,5.52,12.16,0
4,0,12,2,8,2,9,0,0,10,0,0,2,3,0,2,2,3.94,7.27,3.56,1
8,12,13,2,2,2,7,0,9,8,0,0,3,0,0,2,4,8.33,10.03,12.04,1
3,3,13,3,8,2,9,0,0,13,0,0,2,3,0,3,4,5.25,7.23,12.08,1
8,7,7,2,7,0,9,0,0,8,0,0,2,3,5,3,4,4.12,4.3,3.26,1
8,0,7,2,8,2,12,0,7,13,0,0,2,3,0,2,4,8.64,7.54,19.89,0
8,0,2,2,0,3,12,0,0,13,0,0,2,3,0,2,4,1.97,4.76,4.1,0
7,12,7,2,2,3,9,0,5,8,0,0,2,3,0,4,4,2.28,6.52,3.21,0
5,10,12,2,0,2,12,4,2,4,0,0,2,3,4,2,4,4.12,0.0,0.0,1
4,10,7,2,3,0,8,0,8,9,0,0,2,3,0,2,2,4.0,5.91,7.87,0
7,0,7,2,7,2,2,0,0,2,0,0,2,3,0,5,2,12.0,8.16,21.34,0
3,6,13,2,0,2,7,0,0,13,0,0,2,3,0,2,2,4.47,5.85,6.05,1
8,12,12,3,0,0,7,6,0,13,0,0,3,5,0,2,4,8.3,8.34,15.72,1
4,9,7,3,4,0,7,6,0,13,0,0,3,8,0,6,4,13.02,10.64,18.61,0
4,0,8,2,3,0,8,0,0,14,0,0,2,3,8,3,4,0.86,4.54,0.91,1
6,12,12,2,4,2,9,0,7,13,0,0,3,2,0,3,5,10.11,17.86,12.58,0
8,3,8,2,2,0,13,5,0,14,0,0,3,8,4,2,4,11.37,12.2,22.68,1
6,4,7,2,4,0,12,0,9,13,2,6,3,7,0,2,4,7.22,8.41,15.87,1
4,3,2,2,0,2,2,0,0,13,0,0,3,3,0,2,2,9.29,4.71,19.39,0
2,4,12,2,8,3,12,0,0,14,0,0,2,3,0,3,2,3.12,4.92,3.03,0
4,2,3,3,3,2,13,0,0,8,0,0,2,3,0,2,4,6.51,5.58,7.95,1
4,8,13,2,8,3,13,0,0,14,0,0,2,3,0,2,2,5.11,5.06,5.45,1
5,3,7,2,0,2,13,0,0,8,0,0,2,3,0,2,5,9.42,1.62,15.43,1
8,0,12,2,8,2,12,2,0,8,0,6,3,0,0,3,4,4.81,7.89,7.84,0
7,0,13,2,5,4,4,0,0,9,0,0,2,3,0,2,2,3.53,6.62,7.36,0
4,11,4,2,0,3,6,0,0,13,0,0,2,3,0,2,4,1.71,5.21,2.54,0
7,0,3,3,3,2,9,0,0,3,0,0,2,3,0,2,2,5.76,6.1,6.9,1
8,10,7,2,7,2,9,0,0,13,0,4,3,9,0,2,4,3.73,5.03,8.19,1
8,6,13,2,2,2,7,0,5,8,0,3,3,9,3,2,2,6.13,8.56,7.98,1
7,0,13,2,5,4,4,0,0,14,0,0,2,3,0,2,2,3.93,6.65,6.56,0
8,5,13,3,8,2,13,0,0,13,0,0,2,3,0,2,4,8.88,8.93,18.13,0
2,11,11,2,2,2,5,0,7,12,0,0,2,3,0,2,2,3.59,5.56,6.28,1
7,10,9,3,3,2,8,0,0,13,0,0,2,3,0,2,4,8.04,6.0,17.52,0
4,0,7,2,3,2,13,2,0,8,0,0,2,3,0,5,2,7.02,6.55,10.32,1
4,5,7,2,0,2,6,0,7,13,0,6,2,3,3,2,2,3.36,5.65,6.52,0
8,12,10,2,7,2,5,0,9,8,0,0,3,2,3,6,4,2.77,5.28,6.14,1
8,0,13,2,7,3,13,0,5,14,0,0,2,3,0,2,2,4.26,5.16,10.41,1
7,0,4,2,7,2,5,2,0,12,0,0,2,3,0,3,2,7.69,5.73,19.32,0
5,8,7,2,5,4,4,0,0,8,0,0,2,3,2,5,5,5.03,8.66,53.64,0
8,12,7,3,4,0,12,0,0,13,0,0,3,0,0,2,4,15.56,9.74,17.61,0
2,10,12,2,4,2,12,0,9,13,2,6,3,5,0,2,4,7.25,12.75,13.62,1
