dataset,feature,feature_type,cardinality
parity5p5,Bit_4,categorical,2
parity5p5,Bit_5,categorical,2
parity5p5,Bit_6,categorical,2
parity5p5,Bit_7,categorical,2
parity5p5,Bit_8,categorical,2
parity5p5,Bit_9,categorical,2
parity5p5,Bit_10,categorical,2
phiusiil_phishing,TLD,categorical,695
phiusiil_phishing,IsDomainIP,categorical,2
phiusiil_phishing,HasObfuscation,categorical,2
phiusiil_phishing,IsHTTPS,categorical,2
phiusiil_phishing,HasTitle,categorical,2
phiusiil_phishing,HasFavicon,categorical,2
phiusiil_phishing,Robots,categorical,2
phiusiil_phishing,IsResponsive,categorical,2
phiusiil_phishing,HasDescription,categorical,2
phiusiil_phishing,HasExternalFormSubmit,categorical,2
phiusiil_phishing,HasSocialNet,categorical,2
phiusiil_phishing,HasSubmitButton,categorical,2
phiusiil_phishing,HasHiddenFields,categorical,2
phiusiil_phishing,HasPasswordField,categorical,2
phiusiil_phishing,Bank,categorical,2
phiusiil_phishing,Pay,categorical,2
phiusiil_phishing,Crypto,categorical,2
phiusiil_phishing,HasCopyrightInfo,categorical,2
phiusiil_phishing,URLLength,numerical,10
phiusiil_phishing,DomainLength,numerical,10
phiusiil_phishing,URLSimilarityIndex,numerical,5
phiusiil_phishing,CharContinuationRate,numerical,5
phiusiil_phishing,TLDLegitimateProb,numerical,6
phiusiil_phishing,URLCharProb,numerical,10
phiusiil_phishing,TLDLength,numerical,2
phiusiil_phishing,NoOfSubDomain,numerical,3
phiusiil_phishing,NoOfObfuscatedChar,numerical,1
phiusiil_phishing,ObfuscationRatio,numerical,1
phiusiil_phishing,NoOfLettersInURL,numerical,10
phiusiil_phishing,LetterRatioInURL,numerical,10
phiusiil_phishing,NoOfDegitsInURL,numerical,3
phiusiil_phishing,DegitRatioInURL,numerical,3
phiusiil_phishing,NoOfEqualsInURL,numerical,1
phiusiil_phishing,NoOfQMarkInURL,numerical,1
phiusiil_phishing,NoOfAmpersandInURL,numerical,1
phiusiil_phishing,NoOfOtherSpecialCharsInURL,numerical,5
phiusiil_phishing,SpacialCharRatioInURL,numerical,10
phiusiil_phishing,LineOfCode,numerical,9
phiusiil_phishing,LargestLineLength,numerical,10
phiusiil_phishing,DomainTitleMatchScore,numerical,2
phiusiil_phishing,URLTitleMatchScore,numerical,1
phiusiil_phishing,NoOfURLRedirect,numerical,1
phiusiil_phishing,NoOfSelfRedirect,numerical,1
phiusiil_phishing,NoOfPopup,numerical,1
phiusiil_phishing,NoOfiFrame,numerical,4
phiusiil_phishing,NoOfImage,numerical,7
phiusiil_phishing,NoOfCSS,numerical,7
phiusiil_phishing,NoOfJS,numerical,7
phiusiil_phishing,NoOfSelfRef,numerical,7
phiusiil_phishing,NoOfEmptyRef,numerical,4
phiusiil_phishing,NoOfExternalRef,numerical,8
ppd,L_CORE,categorical,3
ppd,L_SURF,categorical,3
ppd,L_O2,categorical,2
ppd,L_BP,categorical,3
ppd,SURF_STBL,categorical,2
ppd,CORE_STBL,categorical,3
ppd,BP_STBL,categorical,3
ppd,COMFORT,categorical,5
primary_tumor,age,categorical,3
primary_tumor,sex,categorical,2
primary_tumor,histologic_type,categorical,3
primary_tumor,degree_of_diffe,categorical,3
primary_tumor,bone,categorical,2
primary_tumor,bone_marrow,categorical,2
primary_tumor,lung,categorical,2
primary_tumor,pleura,categorical,2
primary_tumor,peritoneum,categorical,2
primary_tumor,liver,categorical,2
primary_tumor,brain,categorical,2
primary_tumor,skin,categorical,2
primary_tumor,neck,categorical,2
primary_tumor,supraclavicular,categorical,2
primary_tumor,axillar,categorical,2
primary_tumor,mediastinum,categorical,2
primary_tumor,abdominal,categorical,2
ptumor,age,categorical,3
ptumor,sex,categorical,2
ptumor,histologic_type,categorical,3
ptumor,degree_of_diffe,categorical,3
ptumor,bone,categorical,2
ptumor,bone_marrow,categorical,2
ptumor,lung,categorical,2
ptumor,pleura,categorical,2
ptumor,peritoneum,categorical,2
ptumor,liver,categorical,2
ptumor,brain,categorical,2
ptumor,skin,categorical,2
ptumor,neck,categorical,2
ptumor,supraclavicular,categorical,2
ptumor,axillar,categorical,2
ptumor,mediastinum,categorical,2
ptumor,abdominal,categorical,2
rt_iot2022,proto,categorical,3
rt_iot2022,service,categorical,9
rt_iot2022,id.orig_p,numerical,10
rt_iot2022,id.resp_p,numerical,4
rt_iot2022,flow_duration,numerical,6
rt_iot2022,fwd_pkts_tot,numerical,3
rt_iot2022,bwd_pkts_tot,numerical,3
rt_iot2022,fwd_data_pkts_tot,numerical,3
rt_iot2022,bwd_data_pkts_tot,numerical,2
rt_iot2022,fwd_pkts_per_sec,numerical,7
rt_iot2022,bwd_pkts_per_sec,numerical,7
rt_iot2022,flow_pkts_per_sec,numerical,7
rt_iot2022,down_up_ratio,numerical,3
rt_iot2022,fwd_header_size_tot,numerical,2
rt_iot2022,fwd_header_size_min,numerical,2
rt_iot2022,fwd_header_size_max,numerical,2
rt_iot2022,bwd_header_size_tot,numerical,2
rt_iot2022,bwd_header_size_min,numerical,3
rt_iot2022,bwd_header_size_max,numerical,2
rt_iot2022,flow_FIN_flag_count,numerical,1
rt_iot2022,flow_SYN_flag_count,numerical,2
rt_iot2022,flow_RST_flag_count,numerical,2
rt_iot2022,fwd_PSH_flag_count,numerical,2
rt_iot2022,bwd_PSH_flag_count,numerical,1
rt_iot2022,flow_ACK_flag_count,numerical,2
rt_iot2022,fwd_URG_flag_count,numerical,1
rt_iot2022,bwd_URG_flag_count,numerical,1
rt_iot2022,flow_CWR_flag_count,numerical,1
rt_iot2022,flow_ECE_flag_count,numerical,1
rt_iot2022,fwd_pkts_payload.min,numerical,3
rt_iot2022,fwd_pkts_payload.max,numerical,3
rt_iot2022,fwd_pkts_payload.tot,numerical,3
rt_iot2022,fwd_pkts_payload.avg,numerical,4
rt_iot2022,fwd_pkts_payload.std,numerical,1
rt_iot2022,bwd_pkts_payload.min,numerical,1
rt_iot2022,bwd_pkts_payload.max,numerical,2
rt_iot2022,bwd_pkts_payload.tot,numerical,2
rt_iot2022,bwd_pkts_payload.avg,numerical,2
rt_iot2022,bwd_pkts_payload.std,numerical,2
rt_iot2022,flow_pkts_payload.min,numerical,2
rt_iot2022,flow_pkts_payload.max,numerical,3
rt_iot2022,flow_pkts_payload.tot,numerical,4
rt_iot2022,flow_pkts_payload.avg,numerical,4
rt_iot2022,flow_pkts_payload.std,numerical,3
rt_iot2022,fwd_iat.min,numerical,2
rt_iot2022,fwd_iat.max,numerical,2
rt_iot2022,fwd_iat.tot,numerical,2
rt_iot2022,fwd_iat.avg,numerical,2
rt_iot2022,fwd_iat.std,numerical,1
rt_iot2022,bwd_iat.min,numerical,2
rt_iot2022,bwd_iat.max,numerical,2
rt_iot2022,bwd_iat.tot,numerical,2
rt_iot2022,bwd_iat.avg,numerical,2
rt_iot2022,bwd_iat.std,numerical,1
rt_iot2022,flow_iat.min,numerical,7
rt_iot2022,flow_iat.max,numerical,6
rt_iot2022,flow_iat.tot,numerical,6
rt_iot2022,flow_iat.avg,numerical,6
rt_iot2022,flow_iat.std,numerical,2
rt_iot2022,payload_bytes_per_second,numerical,7
rt_iot2022,fwd_subflow_pkts,numerical,3
rt_iot2022,bwd_subflow_pkts,numerical,3
rt_iot2022,fwd_subflow_bytes,numerical,3
rt_iot2022,bwd_subflow_bytes,numerical,2
rt_iot2022,fwd_bulk_bytes,numerical,1
rt_iot2022,bwd_bulk_bytes,numerical,1
rt_iot2022,fwd_bulk_packets,numerical,1
rt_iot2022,bwd_bulk_packets,numerical,1
rt_iot2022,fwd_bulk_rate,numerical,1
rt_iot2022,bwd_bulk_rate,numerical,1
rt_iot2022,active.min,numerical,6
rt_iot2022,active.max,numerical,6
rt_iot2022,active.tot,numerical,6
rt_iot2022,active.avg,numerical,6
rt_iot2022,active.std,numerical,1
rt_iot2022,idle.min,numerical,1
rt_iot2022,idle.max,numerical,1
rt_iot2022,idle.tot,numerical,1
rt_iot2022,idle.avg,numerical,1
rt_iot2022,idle.std,numerical,1
rt_iot2022,fwd_init_window_size,numerical,3
rt_iot2022,bwd_init_window_size,numerical,1
rt_iot2022,fwd_last_window_size,numerical,3
secondary_mushroom,cap-shape,categorical,7
secondary_mushroom,cap-surface,categorical,11
secondary_mushroom,cap-color,categorical,12
secondary_mushroom,does-bruise-or-bleed,categorical,2
secondary_mushroom,gill-attachment,categorical,7
secondary_mushroom,gill-spacing,categorical,3
secondary_mushroom,gill-color,categorical,12
secondary_mushroom,stem-root,categorical,5
secondary_mushroom,stem-surface,categorical,8
secondary_mushroom,stem-color,categorical,13
secondary_mushroom,veil-type,categorical,1
secondary_mushroom,veil-color,categorical,6
secondary_mushroom,has-ring,categorical,2
secondary_mushroom,ring-type,categorical,8
secondary_mushroom,spore-print-color,categorical,7
secondary_mushroom,habitat,categorical,8
secondary_mushroom,season,categorical,4
secondary_mushroom,cap-diameter,numerical,10
secondary_mushroom,stem-height,numerical,10
secondary_mushroom,stem-width,numerical,10
sensorless_drive,feature_1,numerical,10
sensorless_drive,feature_2,numerical,10
sensorless_drive,feature_3,numerical,10
sensorless_drive,feature_4,numerical,10
sensorless_drive,feature_5,numerical,10
sensorless_drive,feature_6,numerical,10
sensorless_drive,feature_7,numerical,10
sensorless_drive,feature_8,numerical,10
sensorless_drive,feature_9,numerical,10
sensorless_drive,feature_10,numerical,10
sensorless_drive,feature_11,numerical,10
sensorless_drive,feature_12,numerical,10
sensorless_drive,feature_13,numerical,10
sensorless_drive,feature_14,numerical,10
sensorless_drive,feature_15,numerical,10
sensorless_drive,feature_16,numerical,10
sensorless_drive,feature_17,numerical,10
sensorless_drive,feature_18,numerical,10
sensorless_drive,feature_19,numerical,10
sensorless_drive,feature_20,numerical,10
sensorless_drive,feature_21,numerical,10
sensorless_drive,feature_22,numerical,10
sensorless_drive,feature_23,numerical,10
sensorless_drive,feature_24,numerical,10
sensorless_drive,feature_25,numerical,10
sensorless_drive,feature_26,numerical,10
sensorless_drive,feature_27,numerical,10
sensorless_drive,feature_28,numerical,10
sensorless_drive,feature_29,numerical,10
sensorless_drive,feature_30,numerical,10
sensorless_drive,feature_31,numerical,10
sensorless_drive,feature_32,numerical,10
sensorless_drive,feature_33,numerical,10
sensorless_drive,feature_34,numerical,10
sensorless_drive,feature_35,numerical,10
sensorless_drive,feature_36,numerical,10
sensorless_drive,feature_37,numerical,10
sensorless_drive,feature_38,numerical,10
sensorless_drive,feature_39,numerical,10
sensorless_drive,feature_40,numerical,10
sensorless_drive,feature_41,numerical,10
sensorless_drive,feature_42,numerical,10
sensorless_drive,feature_43,numerical,10
sensorless_drive,feature_44,numerical,10
sensorless_drive,feature_45,numerical,10
sensorless_drive,feature_46,numerical,10
sensorless_drive,feature_47,numerical,10
sensorless_drive,feature_48,numerical,10
sensory,Occasion,categorical,2
sensory,Judges,categorical,6
sensory,Interval,categorical,3
sensory,Sittings,categorical,4
sensory,Position,categorical,4
sensory,Squares,categorical,2
sensory,Rows,categorical,3
sensory,Columns,categorical,4
sensory,Halfplot,categorical,2
sensory,Trellis,categorical,4
sensory,Method,categorical,2
shuttle,feature_1,numerical,9
shuttle,feature_2,numerical,4
shuttle,feature_3,numerical,10
shuttle,feature_4,numerical,4
shuttle,feature_5,numerical,10
shuttle,feature_6,numerical,8
shuttle,feature_7,numerical,10
shuttle,feature_8,numerical,10
shuttle,feature_9,numerical,6
skin_segmentation,B,numerical,10
skin_segmentation,G,numerical,10
skin_segmentation,R,numerical,10
three_of_nine,F1,categorical,2
three_of_nine,F2,categorical,2
three_of_nine,F3,categorical,2
three_of_nine,F4,categorical,2
three_of_nine,F5,categorical,2
three_of_nine,F6,categorical,2
three_of_nine,F7,categorical,2
three_of_nine,F8,categorical,2
three_of_nine,F9,categorical,2
vehicle,Alcohol_related,categorical,2
vehicle,Gender,categorical,2
vehicle,Type,categorical,2
vehicle,Age,categorical,6
xd6,Attribute_1,categorical,2
xd6,Attribute_2,categorical,2
xd6,Attribute_3,categorical,2
xd6,Attribute_4,categorical,2
xd6,Attribute_5,categorical,2
xd6,Attribute_6,categorical,2
xd6,Attribute_7,categorical,2
xd6,Attribute_8,categorical,2
xd6,Attribute_9,categorical,2
