dataset,model,folds,fold_count,fold_metrics_count,tuning_count,tuning_metrics_count,has_all_folds,has_tuning,complete
ppd,tt,"1,2,3,4,5",5,5,12,12,True,True,True
primary_tumor,tt,"1,2,3,4,5",5,5,12,12,True,True,True
ptumor,tt,"1,2,3,4,5",5,5,12,12,True,True,True
rt_iot2022,tt,"1,2,3,4,5",5,5,12,12,True,True,True
secondary_mushroom,tt,"1,2,3,4,5",5,5,12,12,True,True,True
sensorless_drive,tt,"1,2,3,4,5",5,5,12,12,True,True,True
sensory,tt,"1,2,3,4,5",5,5,12,12,True,True,True
shuttle,tt,"1,2,3,4,5",5,5,12,12,True,True,True
skin_segmentation,tt,"1,2,3,4,5",5,5,12,12,True,True,True
three_of_nine,tt,"1,2,3,4,5",5,5,12,12,True,True,True
vehicle,tt,"1,2,3,4,5",5,5,12,12,True,True,True
xd6,tt,"1,2,3,4,5",5,5,12,12,True,True,True
asia_lung,tr,"1,2,3,4,5",5,5,12,12,True,True,True
balance_scale,tr,"1,2,3,4,5",5,5,12,12,True,True,True
car_evaluation,tr,"1,2,3,4,5",5,5,12,12,True,True,True
census_income_kdd,tr,"1,2,3,4,5",5,5,12,12,True,True,True
cleveland,tr,"1,2,3,4,5",5,5,12,12,True,True,True
conf_ad,tr,"1,2,3,4,5",5,5,12,12,True,True,True
connect_4,tr,"1,2,3,4,5",5,5,12,12,True,True,True
coronary,tr,"1,2,3,4,5",5,5,12,12,True,True,True
credit_approval,tr,"1,2,3,4,5",5,5,12,12,True,True,True
dmft,tr,"1,2,3,4,5",5,5,12,12,True,True,True
german_gss,tr,"1,2,3,4,5",5,5,12,12,True,True,True
hayesroth,tr,"1,2,3,4,5",5,5,12,12,True,True,True
house_votes_84,tr,"1,2,3,4,5",5,5,12,12,True,True,True
krkopt,tr,"1,2,3,4,5",5,5,12,12,True,True,True
led7,tr,"1,2,3,4,5",5,5,12,12,True,True,True
mofn,tr,"1,2,3,4,5",5,5,12,12,True,True,True
nursery,tr,"1,2,3,4,5",5,5,12,12,True,True,True
parity5p5,tr,"1,2,3,4,5",5,5,12,12,True,True,True
phiusiil_phishing,tr,"1,2,3,4,5",5,5,12,12,True,True,True
ppd,tr,"1,2,3,4,5",5,5,12,12,True,True,True
primary_tumor,tr,"1,2,3,4,5",5,5,12,12,True,True,True
ptumor,tr,"1,2,3,4,5",5,5,12,12,True,True,True
rt_iot2022,tr,"1,2,3,4,5",5,5,12,12,True,True,True
secondary_mushroom,tr,"1,2,3,4,5",5,5,12,12,True,True,True
sensorless_drive,tr,"1,2,3,4,5",5,5,12,12,True,True,True
sensory,tr,"1,2,3,4,5",5,5,12,12,True,True,True
shuttle,tr,"1,2,3,4,5",5,5,12,12,True,True,True
skin_segmentation,tr,"1,2,3,4,5",5,5,12,12,True,True,True
three_of_nine,tr,"1,2,3,4,5",5,5,12,12,True,True,True
vehicle,tr,"1,2,3,4,5",5,5,12,12,True,True,True
xd6,tr,"1,2,3,4,5",5,5,12,12,True,True,True
asia_lung,rf,"1,2,3,4,5",5,5,36,36,True,True,True
balance_scale,rf,"1,2,3,4,5",5,5,36,36,True,True,True
car_evaluation,rf,"1,2,3,4,5",5,5,36,36,True,True,True
census_income_kdd,rf,"1,2,3,4,5",5,5,36,36,True,True,True
cleveland,rf,"1,2,3,4,5",5,5,36,36,True,True,True
conf_ad,rf,"1,2,3,4,5",5,5,36,36,True,True,True
connect_4,rf,"1,2,3,4,5",5,5,36,36,True,True,True
coronary,rf,"1,2,3,4,5",5,5,36,36,True,True,True
credit_approval,rf,"1,2,3,4,5",5,5,36,36,True,True,True
dmft,rf,"1,2,3,4,5",5,5,36,36,True,True,True
german_gss,rf,"1,2,3,4,5",5,5,36,36,True,True,True
hayesroth,rf,"1,2,3,4,5",5,5,36,36,True,True,True
house_votes_84,rf,"1,2,3,4,5",5,5,36,36,True,True,True
krkopt,rf,"1,2,3,4,5",5,5,36,36,True,True,True
led7,rf,"1,2,3,4,5",5,5,36,36,True,True,True
mofn,rf,"1,2,3,4,5",5,5,36,36,True,True,True
nursery,rf,"1,2,3,4,5",5,5,36,36,True,True,True
parity5p5,rf,"1,2,3,4,5",5,5,36,36,True,True,True
phiusiil_phishing,rf,"1,2,3,4,5",5,5,36,36,True,True,True
ppd,rf,"1,2,3,4,5",5,5,36,36,True,True,True
primary_tumor,rf,"1,2,3,4,5",5,5,36,36,True,True,True
ptumor,rf,"1,2,3,4,5",5,5,36,36,True,True,True
rt_iot2022,rf,"1,2,3,4,5",5,5,36,36,True,True,True
secondary_mushroom,rf,"1,2,3,4,5",5,5,36,36,True,True,True
sensorless_drive,rf,"1,2,3,4,5",5,5,36,36,True,True,True
sensory,rf,"1,2,3,4,5",5,5,36,36,True,True,True
shuttle,rf,"1,2,3,4,5",5,5,36,36,True,True,True
skin_segmentation,rf,"1,2,3,4,5",5,5,36,36,True,True,True
three_of_nine,rf,"1,2,3,4,5",5,5,36,36,True,True,True
vehicle,rf,"1,2,3,4,5",5,5,36,36,True,True,True
xd6,rf,"1,2,3,4,5",5,5,36,36,True,True,True
